############ Ejecución 1 ############
D: 16, L: 32768, R: 32768, ciclos: 3159040, accesos: 1310720, ciclos/acc: 2.410156
D: 32, L: 256, R: 256, ciclos: 16910, accesos: 10240, ciclos/acc: 1.651367
D: 32, L: 768, R: 768, ciclos: 47178, accesos: 30720, ciclos/acc: 1.535742
D: 32, L: 2048, R: 2048, ciclos: 125670, accesos: 81920, ciclos/acc: 1.534058
D: 32, L: 3072, R: 3072, ciclos: 195424, accesos: 122880, ciclos/acc: 1.590365
D: 32, L: 8192, R: 8192, ciclos: 696610, accesos: 327680, ciclos/acc: 2.125885
D: 32, L: 16384, R: 16384, ciclos: 1253704, accesos: 655360, ciclos/acc: 1.913000
D: 32, L: 32768, R: 32768, ciclos: 3285338, accesos: 1310720, ciclos/acc: 2.506514
D: 64, L: 256, R: 256, ciclos: 16946, accesos: 10240, ciclos/acc: 1.654883
D: 64, L: 768, R: 768, ciclos: 50568, accesos: 30720, ciclos/acc: 1.646094
D: 64, L: 2048, R: 2048, ciclos: 142352, accesos: 81920, ciclos/acc: 1.737695
D: 64, L: 3072, R: 3072, ciclos: 246396, accesos: 122880, ciclos/acc: 2.005176
D: 64, L: 8192, R: 8192, ciclos: 604488, accesos: 327680, ciclos/acc: 1.844751
D: 64, L: 16384, R: 16384, ciclos: 1317032, accesos: 655360, ciclos/acc: 2.009631
D: 64, L: 32768, R: 32768, ciclos: 3415226, accesos: 1310720, ciclos/acc: 2.605611
D: 128, L: 256, R: 256, ciclos: 17170, accesos: 10240, ciclos/acc: 1.676758
D: 128, L: 768, R: 768, ciclos: 51944, accesos: 30720, ciclos/acc: 1.690885
D: 128, L: 2048, R: 2048, ciclos: 158232, accesos: 81920, ciclos/acc: 1.931543
D: 128, L: 3072, R: 3072, ciclos: 234510, accesos: 122880, ciclos/acc: 1.908447
D: 128, L: 8192, R: 8192, ciclos: 741500, accesos: 327680, ciclos/acc: 2.262878
D: 128, L: 16384, R: 16384, ciclos: 1756216, accesos: 655360, ciclos/acc: 2.679773
D: 128, L: 32768, R: 32768, ciclos: 5635884, accesos: 1310720, ciclos/acc: 4.299838
D: 256, L: 256, R: 256, ciclos: 17186, accesos: 10240, ciclos/acc: 1.678320
D: 256, L: 768, R: 768, ciclos: 82622, accesos: 30720, ciclos/acc: 2.689518
D: 256, L: 2048, R: 2048, ciclos: 165644, accesos: 81920, ciclos/acc: 2.022021
D: 256, L: 3072, R: 3072, ciclos: 259154, accesos: 122880, ciclos/acc: 2.109001
D: 256, L: 8192, R: 8192, ciclos: 896636, accesos: 327680, ciclos/acc: 2.736316
D: 256, L: 16384, R: 16384, ciclos: 2890822, accesos: 655360, ciclos/acc: 4.411044
D: 256, L: 32768, R: 32768, ciclos: 6566214, accesos: 1310720, ciclos/acc: 5.009624
D: 512, L: 256, R: 256, ciclos: 24054, accesos: 10240, ciclos/acc: 2.349023
D: 512, L: 768, R: 768, ciclos: 62210, accesos: 30720, ciclos/acc: 2.025065
D: 512, L: 2048, R: 2048, ciclos: 181742, accesos: 81920, ciclos/acc: 2.218530
D: 512, L: 3072, R: 3072, ciclos: 323606, accesos: 122880, ciclos/acc: 2.633512
D: 512, L: 8192, R: 8192, ciclos: 1685688, accesos: 327680, ciclos/acc: 5.144312
D: 512, L: 16384, R: 16384, ciclos: 3708016, accesos: 655360, ciclos/acc: 5.657983
D: 512, L: 32768, R: 32768, ciclos: 7364652, accesos: 1310720, ciclos/acc: 5.618784
D: 1024, L: 256, R: 256, ciclos: 30522, accesos: 10240, ciclos/acc: 2.980664
D: 1024, L: 768, R: 768, ciclos: 63404, accesos: 30720, ciclos/acc: 2.063932
D: 1024, L: 2048, R: 2048, ciclos: 196110, accesos: 81920, ciclos/acc: 2.393921
D: 1024, L: 3072, R: 3072, ciclos: 326088, accesos: 122880, ciclos/acc: 2.653711
D: 1024, L: 8192, R: 8192, ciclos: 1700570, accesos: 327680, ciclos/acc: 5.189728
D: 1024, L: 16384, R: 16384, ciclos: 3702350, accesos: 655360, ciclos/acc: 5.649338
